id,url,Title,Category,Categories,Authors,Price in NIS,Year,Synopsis,Synopsis length,Price in USD,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight unit,ISBN
1,https://www.bookdelivery.com/il-en/book-84-charing-cross-road/9780140143508/p/1547856,"84, Charing Cross Road - Hanff, Helene","Biography: writersAntiques, vintage and collectibles: books, manuscripts, ephemera and printed material","Biographies Literature Literay Studies, Biographies, General, Writers",Helene Hanff,51.71,1990,"""Those who have read The Guernsey Literary and Potato Peel Pie Society,  a novel comprised of only letters between the characters, will see how much that best-seller owes 84, Charing Cross Road."" -- Medium.com A heartwarming love story about people who love books for readers who love books This funny, poignant, classic love story unfolds through a series of letters between Helene Hanff, a freelance writer living in New York City, and a used-book dealer in London at 84, Charing Cross Road. Through the years, though never meeting and separated both geographically and culturally, they share a charming, sentimental friendship based on their common love for books. Discover the relationship that has touched the hearts of thousands of readers around the world, and was the basis for a film starring Anthony Hopkins and Anne Bancroft.",836.0,17.18,5.0,2,English,Paperback,"19.3, 13.9, 0.8",cm,1.05,,9780140143508
2,https://www.bookdelivery.com/il-en/book-arcanum-unbounded-the-cosmere-collection/9780765391186/p/49736609,Arcanum Unbounded: The Cosmere Collection - Brandon Sanderson,"Anthologies: generalEpic/heroic fantasyShort stories, tales","Biographies Literature Literay Studies, Biographies, Anthologies",Brandon Sanderson,48.82,2018,"From #1 New York Times bestselling author Brandon Sanderson―creator of The Stormlight Archive, the Mistborn Saga, and countless bestselling works of science fiction and fantasy―this iconic short fiction collection features stories set across the Cosmere universe. The Stormlight Archive novella ""Edgedancer"" is the crown jewel of Arcanum Unbounded: The Cosmere Collection, which includes novellas and short stories from the worlds of the Stormlight Archive, the Mistborn Saga, Elantris, and more. This collection includes: ""The Hope of Elantris"" (Elantris)""The Eleventh Metal"" (Mistborn)""The Emperor's Soul"" (Elantris)""Allomancer Jak and the Pits of Eltania, Episodes 28 through 30"" (Mistborn)""White Sand"" (excerpt; Taldain)""Shadows for Silence in the Forests of Hell"" (Threnody)""Sixth of Dusk"" (First of the Sun)""Mistborn: Secret History"" (Mistborn)""Edgedancer"" (The Stormlight Archive) These nine wonderful works, published elsewhere individually, convey the expanse of the Cosmere and tell exciting tales of adventure Sanderson fans have come to expect, including the Hugo Award-winning novella ""The Emperor's Soul"" and an excerpt from the graphic novel ""White Sand."" Finally, this collection includes essays and illustrations for the various planetary systems in which the stories are set. Other Tor books by Brandon Sanderson The CosmereThe Stormlight Archive● The Way of Kings● Words of Radiance● Edgedancer (novella)● Oathbringer● Dawnshard (novella)● Rhythm of War● Wind and Truth The Mistborn SagaThe Original Trilogy● Mistborn● The Well of Ascension● The Hero of Ages Wax and Wayne● The Alloy of Law● Shadows of Self● The Bands of Mourning● The Lost Metal Other Cosmere novels● Elantris● Warbreaker● Tress of the Emerald Sea● Yumi and the Nightmare Painter● The Sunlit Man The Alcatraz vs. the Evil Librarians series● Alcatraz vs. the Evil Librarians● The Scrivener's Bones● The Knights of Crystallia● The Shattered Lens● The Dark Talent● Bastille vs. the Evil Librarians (with Janci Patterson) Other novels● The Rithmatist● Legion: The Many Lives of Stephen Leeds● The Frugal Wizard's Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners● Steelheart● Firefight● Calamity Skyward● Skyward● Starsight● Cytonic● Skyward Flight (with Janci Patterson)● Defiant",2300.0,16.22,5.0,1,English,Paperback,"17.0, 10.4, 4.3",cm,0.35,,9780765391186
3,https://www.bookdelivery.com/il-en/book-based-on-a-true-story-not-a-memoir/9780812983869/p/49354104,Based on a True Story: Not a Memoir  - Norm MacDonald,Biography: arts and entertainmentMemoirsHumour collections and anthologies,"Biographies Literature Literay Studies, Biographies, General, Art Show",Norm MacDonald,74.12,2017,"NEW YORK TIMES BESTSELLER - ""Driving, wild and hilarious"" (The Washington Post), here is the incredible ""memoir"" of the legendary actor, gambler, raconteur, and Saturday Night Live veteran.  When Norm Macdonald, one of the greatest stand-up comics of all time, was approached to write a celebrity memoir, he flatly refused, calling the genre ""one step below instruction manuals."" Norm then promptly took a two-year hiatus from stand-up comedy to live on a farm in northern Canada. When he emerged he had under his arm a manuscript, a genre-smashing book about comedy, tragedy, love, loss, war, and redemption. When asked if this was the celebrity memoir, Norm replied, ""Call it anything you damn like.""",702.0,24.63,None,0,English,Paperback,"20.1, 13.2, 1.5",cm,0.2,kg,9780812983869
4,https://www.bookdelivery.com/il-en/book-beating-the-street/9780671891633/p/1549686,"Beating the Street  - Lynch, Peter ; Rothchild, John",Biography: business and industryInvestments and securitiesPersonal finance,"Biographies Literature Literay Studies, Biographies, General, Business Industry",Peter Lynch,50.07,,"Legendary money manager Peter Lynch explains his own strategies for investing and offers advice for how to pick stocks and mutual funds to assemble a successful investment portfolio. Develop a Winning Investment Strategy--with Expert Advice from ""The Nation's #1 Money Manager."" Peter Lynch's ""invest in what you know"" strategy has made him a household name with investors both big and small.  An important key to investing, Lynch says, is to remember that stocks are not lottery tickets. There's a company behind every stock and a reason companies--and their stocks--perform the way they do. In this book, Peter Lynch shows you how you can become an expert in a company and how you can build a profitable investment portfolio, based on your own experience and insights and on straightforward do-it-yourself research.  In Beating the Street,  Lynch for the first time explains how to devise a mutual fund strategy, shows his step-by-step strategies for picking stock, and describes how the individual investor can improve his or her investment performance to rival that of the experts.  There's no reason the individual investor can't match wits with the experts, and this book will show you how.",1196.0,16.64,None,0,English,Paperback,"21.5, 13.9, 2.0",cm,0.31,kg,9780671891633
5,https://www.bookdelivery.com/il-en/book-come-to-the-edge/9780385523189/p/4929866,Come to the Edge  - Christina Haag,Biography: arts and entertainment,"Biographies Literature Literay Studies, Biographies, General, Art Show",Christina Haag,62.84,2012,"NEW YORK TIMES BESTSELLERThe Love Story of JFK Jr. and Christina Haag   ""Lyrically and precisely recaptures the frenetic ecstasy of early love.""--The Washington PostWhen Christina Haag was growing up on Manhattan's Upper East Side, John F. Kennedy, Jr., was just one of the boys in her circle of prep school friends, a skinny kid who lived with his mother and sister on Fifth Avenue and who happened to have a Secret Service detail following him discreetly at all times. A decade later, after they had both graduated from Brown University, Christina and John were cast in an off-Broadway play together. It was then that John confessed his long-standing crush on her, and they embarked on a five-year love affair. Glamorous and often in the public eye, but also passionate and deeply intimate, their relationship was transformative for both of them. Exquisitely written, Come to the Edge is an elegy to first love, a lost New York, and a young man with an enormous capacity for tenderness, and an adventurous spirit, who led his life with surprising and abundant grace.",1068.0,20.88,None,0,English,Paperback,,,,,9780385523189
6,https://www.bookdelivery.com/il-en/book-consecration-to-st-joseph-the-wonders-of-our-spiritual-father/9781596144316/p/52725869,"Consecration to St. Joseph: The Wonders of our Spiritual Father - Calloway, MIC Donald","Biography: religious and spiritualRoman catholicism, roman catholic churchNew testamentsDevotional matters","Biographies Literature Literay Studies, Biographies, General, Religious Spiritual",MIC Donald Calloway,75.71,2020,"In the midst of crisis, confusion, and a world at war with the Church, it's time to come home again to our spiritual father, St. Joseph. In this richly researched and lovingly presented program of consecration to St. Joseph, Fr. Donald Calloway, MIC, brings to life the wonders, the power, and the ceaseless love of St. Joseph, Universal Patron of the Church and the Terror of Demons.",384.0,25.16,4.5,2,English,Paperback,"22.6, 15.2, 2.5",cm,0.52,kg,9781596144316
7,https://www.bookdelivery.com/il-en/book-dancing-at-the-edge-of-the-world-thoughts-on-words-women-places/9780802135292/p/1569951,"Dancing at the Edge of the World: Thoughts on Words, Women, Places  - Le Guin, Ursula K.",Writing and editing guidesLiterary essaysLiterature: history and criticismGender studies: women and girls,"Language Linguistics, General, Proof Reading",Ursula K. Le Guin,57.42,1997,"""I have decided that the trouble with print is, it never changes its mind,"" writes Ursula Le Guin in her introduction to Dancing at the Edge of the World. But she has, and here is the record of that change in the decade since the publication of her last nonfiction collection, The Language of the Night. And what a mind -- strong, supple, disciplined, playful, ranging over the whole field of its concerns, from modern literature to menopause, from utopian thought to rodeos, with an eloquence, wit, and precision that makes for exhilarating reading.",550.0,19.08,None,0,English,Paperback,"20.9, 13.9, 2.2",cm,0.36,kg,9780802135292
8,https://www.bookdelivery.com/il-en/book-devotions-the-selected-poems-of-mary-oliver/9780399563263/p/53073658,Devotions: The Selected Poems of Mary Oliver - Mary Oliver,United states of americaPoetry,"Place Qualifiers, America, North, Usa",Mary Oliver,60.59,2020,"Tell me, what is it you plan to dowith your one wild and precious life?-Mary Oliver, from ""The Summer Day""Pulitzer Prize-winning poet Mary Oliver presents a personal selection of her best work in this definitive collection spanning more than five decades of her esteemed literary career.“No matter where one starts reading, Devotions offers much to love.” —The Washington PostThroughout her celebrated career, Mary Oliver has touched countless readers with her brilliantly crafted verse, expounding on her love for the physical world and the powerful bonds between all living things. Identified as ""far and away, this country's best selling poet"" by Dwight Garner, she now returns with a stunning and definitive collection of her writing from the last fifty years.Carefully curated, these 200 plus poems feature Oliver's work from her very first book of poetry, No Voyage and Other Poems, published in 1963 at the age of 28, through her most recent collection, Felicity, published in 2015. This timeless volume, arranged by Oliver herself, showcases the beloved poet at her edifying best. Within these pages, she provides us with an extraordinary and invaluable collection of her passionate, perceptive, and much-treasured observations of the natural world.",1257.0,20.13,5.0,6,English,Paperback,"21.5, 14",cm,0.38,kg,9780399563263
9,https://www.bookdelivery.com/il-en/book-diary-divine-mercy-in-my-soul/9780944203040/p/1582943,"diary,divine mercy in my soul - Kowalska, Maria Faustina","Biography: generalRoman catholicism, roman catholic church","Biographies Literature Literay Studies, Biographies, General",Maria Faustina Kowalska,58.67,,"Large Print This is the book that sparked The Divine Mercy devotion -- one of the fastest growing movements in the Catholic Church today. Diary is a dramatic telling of St. Maria Faustina Kowalska's amazing encounter with The Divine Mercy -- our Lord Jesus Christ. On Mercy Sunday 2006, Pope Benedict XVI said, ""The mystery of the merciful love of God was the center of the pontificate of my venerable predecessor [Pope John Paul II] ... evidencing that the devotion to Divine Mercy is not a secondary but an integral dimension of a Christian's faith and prayer."" Diary chronicles God's message given through St. Faustina to the world to turn to His mercy. In it, we are reminded to trust in the Divine Mercy of Jesus and seek His forgiveness. And as Christ is merciful, so, too, are we instructed to be merciful to others. The message of Divine Mercy has become an integral part of Catholic faith, including the celebration of the Feast of Divine Mercy on the Sunday after Easter as Jesus had requested of St. Faustina. Diary is truly a book that inspires people to turn with trust to Jesus and guides the reader through an intimate journey of prayer and devotion that ultimately leads to God's mercy. Includes 24-page photo section. (Sizes: Hardcover/Trade Paper: 5.5"" x 8"" & Mass Market: 4.5"" x 7"").",1302.0,19.5,None,0,English,Paperback,"20.1, 13.2, 5.1",cm,0.79,kg,9780944203040
10,https://www.bookdelivery.com/il-en/book-dream-work/9780871130693/p/1535500,Dream Work  - Mary Oliver,United states of americaPoetry,"Place Qualifiers, America, North, Usa",Mary Oliver,57.42,1986,"Dream Work, a collection of forty-five poems, follows both chronologically and logically Mary Oliver's American Primitive, which won her the Pulitzer Prize for poetry in 1983. The depth and diversity of perceptual awareness -- so steadfast and radiant in American Primitive -- continues in Dream Work. Additionally, she has turned her attention in these poems to the solitary and difficult labors of the spirit -- to accepting the truth about one's personal world, and to valuing the triumphs while transcending the failures of human relationships.",548.0,19.08,None,0,English,Paperback,"20.9, 14.1, 0.7",cm,0.11,kg,9780871130693
